Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K
1,116200000000000,0,1731e16,4644e15,2071e14,0.001065,0,0,1037.18,293.66
2,105400000000000,0,1571e16,4214e15,1879e14,9.664e-4,0,0,1037.18,287.9
3,95220000000000,0,1419e16,3806e15,1697e14,8.729e-4,0,0,1037.18,282.89
4,85770000000000,0,1278e16,3429e15,1529e14,7.863e-4,0,0,1037.18,278.19
5,77140000000000,0,115e17,3084e15,1375e14,7.073e-4,0,0,1037.18,273.41
6,69370000000000,0,1034e16,2773e15,1236e14,6.36e-4,0,0,1037.18,268.2
7,62400000000000,0,9299e15,2495e15,1112e14,5.721e-4,0,0,1037.18,262.27
8,56200000000000,0,8374e15,2247e15,1002e14,5.152e-4,0,0,1037.18,255.42
9,50670000000000,0,7551e15,2026e15,9032e13,4.646e-4,0,0,1037.18,247.49
10,45740000000000,0,6816e15,1828e15,8152e13,4.193e-4,0,0,1037.18,238.44
11,41260000000000,0,6149e15,165e16,7355e13,3.783e-4,0,0,1037.18,228.53
12,37030000000000,0,5518e15,148e16,66e15,3.395e-4,0,0,1037.18,218.81
13,32900000000000,0,4903e15,1315e15,5864e13,3.016e-4,0,0,1037.18,210.23
14,28850000000000,0,4299e15,1153e15,5142e13,2.645e-4,0,0,1037.18,203.46
15,24920000000000,0,3713e15,9961e14,4441e13,2.284e-4,0,0,1037.18,199.02
16,21190000000000,0,3158e15,8471e14,3777e13,1.943e-4,0,0,1037.18,197.18
17,17820000000000,0,2656e15,7124e14,3177e13,1.634e-4,0,0,1037.18,197.43
18,14890000000000,0,2219e15,5953e14,2654e13,1.365e-4,0,0,1037.18,199.17
19,12410000000000,0,1849e15,4961e14,2212e13,1.138e-4,0,0,1037.18,201.84
20,10350000000000,0,1543e15,4138e14,1845e13,9.491e-5,0,0,1037.18,204.87
21,8666000000000,0,1291e15,3464e14,1545e13,7.945e-5,0,0,1037.18,207.73
22,7279000000000,0,1085e15,291e15,1298e13,6.674e-5,0,0,1037.18,210.34
