Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K,density_kg_m3,mass_flow_kg_s
1,116200000000000,0,1.731e+19,4.644e+18,2.071e+17,0.001065,0,0,1037.18,293.66,1.065,16.72898088036565
2,105400000000000,0,1.571e+19,4.214e+18,1.879e+17,0.0009664,0,0,1037.18,287.9,0.9663999999999999,15.180175702145881
3,95220000000000,0,1.419e+19,3.806e+18,1.697e+17,0.0008729,0,0,1037.18,282.89,0.8729,13.711481136592653
4,85770000000000,0,1.278e+19,3.429e+18,1.529e+17,0.0007863,0,0,1037.18,278.19,0.7863,12.351171517588272
5,77140000000000,0,1.15e+19,3.084e+18,1.375e+17,0.0007073,0,0,1037.18,273.41,0.7073,11.110242419420306
6,69370000000000,0,1.034e+19,2.773e+18,1.236e+17,0.000636,0,0,1037.18,268.2,0.636,9.990264638415542
7,62400000000000,0,9.299e+18,2.495e+18,1.112e+17,0.0005721,0,0,1037.18,262.27,0.5720999999999999,8.986525785593603
8,56200000000000,0,8.374e+18,2.247e+18,1.002e+17,0.0005152,0,0,1037.18,255.42,0.5152,8.092742675647308
9,50670000000000,0,7.551e+18,2.026e+18,9.032e+16,0.0004646,0,0,1037.18,247.49,0.4646,7.29791973428909
10,45740000000000,0,6.816e+18,1.828e+18,8.152e+16,0.0004193,0,0,1037.18,238.44,0.4193,6.586348998251002
11,41260000000000,0,6.149e+18,1.65e+18,7.355e+16,0.0003783,0,0,1037.18,228.53,0.37829999999999997,5.942322504265094
12,37030000000000,0,5.518e+18,1.48e+18,6.6e+16,0.0003395,0,0,1037.18,218.81,0.3395,5.332853529468674
13,32900000000000,0,4.903e+18,1.315e+18,5.864e+16,0.0003016,0,0,1037.18,210.23,0.30160000000000003,4.737521721613409
14,28850000000000,0,4.299e+18,1.153e+18,5.142e+16,0.0002645,0,0,1037.18,203.46,0.26449999999999996,4.1547562843725006
15,24920000000000,0,3.713e+18,9.961e+17,4.441e+16,0.0002284,0,0,1037.18,199.02,0.2284,3.587698810399544
16,21190000000000,0,3.158e+18,8.471e+17,3.777e+16,0.0001943,0,0,1037.18,197.18,0.1943,3.0520572629624843
17,17820000000000,0,2.656e+18,7.124e+17,3.177e+16,0.0001634,0,0,1037.18,197.43,0.1634,2.5666811979828608
